Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/18/2020,UFO,4825 JP,6311762,WEATHERNEWS INC,28600,5800,1591709.45,4.77%,33350625,1375000,55,
11/18/2020,UFO,7013 JP,6466985,IHI CORPORATION,300,1505,4332.39,0.01%,33350625,1375000,55,
11/18/2020,UFO,9412 JP,B1TK234,SKY PERFECT JSAT H,329500,488,1542925.68,4.63%,33350625,1375000,55,
11/18/2020,UFO,AIR FP,4012250,AIRBUS GROUP SE,2895,90.09,309725.5,0.93%,33350625,1375000,55,
11/18/2020,UFO,AJRD,7800105,AEROJET ROCKETDYNE HLDGS INC COM,1646,37.74,62120.04,0.19%,33350625,1375000,55,
11/18/2020,UFO,AVIO IM,BYWZZF0,AVIO SPA,78353,11.02,1025389.88,3.07%,33350625,1375000,55,
11/18/2020,UFO,BA,97023105,BOEING CO,4487,210.05,942494.35,2.83%,33350625,1375000,55,
11/18/2020,UFO,BLL,58498106,BALL CORP,2512,97.14,244015.68,0.73%,33350625,1375000,55,
11/18/2020,UFO,CMCSA,20030N101,COMCAST CORP NEW,16078,49.78,800362.84,2.40%,33350625,1375000,55,
11/18/2020,UFO,DISH,25470M109,DISH NETWORK CORPORATION,44106,34.05,1501809.3,4.50%,33350625,1375000,55,
11/18/2020,UFO,ETL FP,B0M7KJ7,EUTELSAT COMMUNICA,131484,10.12,1580175.14,4.74%,33350625,1375000,55,
11/18/2020,UFO,GILT,M51474118,GILAT SATELLITE NETWORKS LTD SHS NEW,171902,5.38,924832.76,2.77%,33350625,1375000,55,
11/18/2020,UFO,GRMN,H2906T109,GARMIN LTD,14238,117.33,1670544.54,5.01%,33350625,1375000,55,
11/18/2020,UFO,HO FP,4162791,THALES,569,80.08,54111.32,0.16%,33350625,1375000,55,
11/18/2020,UFO,HON,438516106,HONEYWELL INTL INC,2906,205.33,596688.98,1.79%,33350625,1375000,55,
11/18/2020,UFO,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,50837,31.89,1621191.93,4.86%,33350625,1375000,55,
11/18/2020,UFO,LDO IM,B0DJNG0,LEONARDO-FINMECCANICA SPA,1928,5.728,13114.81,0.04%,33350625,1375000,55,
11/18/2020,UFO,LHX,502431109,L3HARRIS TECHNOLOGIES INC,3838,198.43,761574.34,2.28%,33350625,1375000,55,
11/18/2020,UFO,LMT,539830109,LOCKHEED MARTIN CORP,1866,375.9,701429.4,2.10%,33350625,1375000,55,
11/18/2020,UFO,LORL,543881106,LORAL SPACE & COM INC,65734,20.8,1367267.2,4.10%,33350625,1375000,55,
11/18/2020,UFO,MAXR,57778K105,MAXAR TECHNOLOGIES INC,61295,27.58,1690516.1,5.07%,33350625,1375000,55,
11/18/2020,UFO,NOC,666807102,NORTHROP GRUMMAN CORP,2110,312.63,659649.3,1.98%,33350625,1375000,55,
11/18/2020,UFO,ORBC,68555P100,ORBCOMM INC,367609,6.08,2235062.72,6.70%,33350625,1375000,55,
11/18/2020,UFO,RTX,7.55E+105,RAYTHEON TECHNOLOGIES CORP,10846,68.87,746964.02,2.24%,33350625,1375000,55,
11/18/2020,UFO,SATS,278768106,ECHOSTAR CORP,51878,26.21,1359722.38,4.08%,33350625,1375000,55,
11/18/2020,UFO,SDA AU,BPRC2R4,SPEEDCAST INTL LTD,1039473,0.0001,75.89,0.00%,33350625,1375000,55,
11/18/2020,UFO,SESG FP,B00ZQQ2,SES SA,198107,8.392,1974317.98,5.92%,33350625,1375000,55,
11/18/2020,UFO,SIRI,82968B103,SIRIUS XM HOLDINGS INC,253688,6.41,1626140.08,4.88%,33350625,1375000,55,
11/18/2020,UFO,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC COM,81108,21.35,1731655.8,5.19%,33350625,1375000,55,
11/18/2020,UFO,T,00206R102,AT&T INC,24468,29.03,710306.04,2.13%,33350625,1375000,55,
11/18/2020,UFO,TRMB,896239100,TRIMBLE INC,28791,57.31,1650012.21,4.95%,33350625,1375000,55,
11/18/2020,UFO,VSAT,92552V100,VIASAT INC,40080,35.66,1429252.8,4.29%,33350625,1375000,55,
11/18/2020,UFO,Cash&Other,Cash&Other,Cash & Other,220449.02,1,220449.02,0.66%,33350625,1375000,55,Y
